publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-1750052456,0,0, ,,0,-1,0,0,0
-1749242249,0,0, ,,0,0,0,-1,0
-1748718529,0,0, ,,0,0,0,-1,0
-1748048344,0,0, ,,0,-1,0,0,0
-1747846726,0,0, ,,0,0,0,-1,0
-1746229900,0,0, ,,0,-1,0,0,0
-1745809948,0,0, ,,0,0,0,0,0
-1745365171,0,0, ,,0,0,0,0,0
-1743491731,0,0, ,,0,0,0,0,0
-1742191834,0,0, ,,0,0,0,0,0
-1742116698,0,0, ,,0,0,0,-1,0
-1741771228,0,0, ,,0,0,0,0,0
-1741743730,0,0, ,,0,0,0,-1,0
-1737678966,0,0, ,,,,,,0
-1737397139,0,0, ,,,,,,0
-1734335847,0,0, ,,0,0,0,0,0
-1734083538,0,0, ,,0,0,0,0,0
-1731898323,0,0, ,,0,0,0,0,0
-1730559018,0,0, ,,0,0,0,-1,0
-1729101633,0,0, ,,0,0,0,0,0
-1729073551,0,0, ,,,,,,0
-1728106220,0,0, ,,1903,1,1903,1,0
-1727259079,0,0, ,,0,-1,0,0,0
-1727228006,0,0, ,Winter,0,0,0,0,0
-1726158910,0,0, Published in The Irish Press,,0,0,0,0,0
-1723943957,0,0, ,,,,,,0
-1723589785,0,0, ,,0,0,0,0,0
-1723205103,0,0, ,,,,,,0
-1723182811,0,0, ,,0,0,0,0,0
-1722712579,0,0, ,,0,0,0,-1,0
-1721775908,0,0, ,,0,-1,0,0,0
-1720393507,0,0, ,Winter,0,-1,0,0,0
-1719162011,0,0, ,,0,0,0,0,0
-1717818364,0,0, ,,1984,0,0,-1,0
-1715837476,0,0,yearly volume,,1946,1,1946,12,0
